"","","Intercept","exp(past)","SS","R2","P"
"0-20","tooc","-0.99 (0.51)","0.54 (0.26)","3.91","0.08","0.05"
"20-40","tooc","-0.78 (0.51)","0.42 (0.27)","2.44","0.05","0.12"
"40-60","tooc","-0.67 (0.52)","0.36 (0.27)","1.79","0.03","0.18"
"60-80","tooc","-0.4 (0.52)","0.22 (0.27)","0.65","0.01","0.43"
"80-100","tooc","-0.28 (0.52)","0.15 (0.27)","0.3","0.01","0.59"
"0-20","toca","-1.77 (0.46)","0.96 (0.24)","12.36","0.24","0"
"20-40","toca","-1.47 (0.48)","0.79 (0.25)","8.52","0.16","0"
"40-60","toca","-1.62 (0.47)","0.87 (0.25)","10.36","0.2","0"
"60-80","toca","-1.6 (0.47)","0.86 (0.25)","10.12","0.19","0"
"80-100","toca","-0.96 (0.51)","0.52 (0.26)","3.64","0.07","0.06"
"0-20","toph","-1.79 (0.46)","0.97 (0.24)","12.68","0.24","0"
"20-40","toph","-1.97 (0.44)","1.07 (0.23)","15.43","0.3","0"
"40-60","toph","-2.11 (0.43)","1.14 (0.22)","17.64","0.34","0"
"60-80","toph","-2.07 (0.43)","1.12 (0.23)","16.94","0.33","0"
"80-100","toph","-1.91 (0.45)","1.03 (0.23)","14.45","0.28","0"
